CH1 (V)  ,CH2 (V)  
-0.312304688,0.017089844
-0.312304688,0.015625000
-0.312304688,0.019042969
-0.296689453,0.018066406
-0.312304688,0.018066406
-0.312304688,0.019531250
-0.312304688,0.018554687
-0.312304688,0.020996094
-0.312304688,0.018066406
-0.312304688,0.018554687
-0.249843750,0.017089844
-0.156152344,0.017578125
-0.046845703,0.017578125
0.078076172,0.018554687
0.171767578,0.018066406
0.265458984,0.019042969
0.374765625,0.018066406
0.484072266,0.019042969
0.577763672,0.018554687
0.687070312,0.022949219
0.780761719,0.017089844
0.890068359,0.020019531
0.999375000,0.019042969
1.093066406,0.020019531
1.202373047,0.019042969
1.311679688,0.020507812
1.405371094,0.019531250
1.514677734,0.020507812
1.608369141,0.019531250
1.717675781,0.020996094
1.826982422,0.020019531
1.936289062,0.021484375
2.029980469,0.020507812
2.139287109,0.022949219
2.232978516,0.021484375
2.342285156,0.022949219
2.435976563,0.021484375
2.545283203,0.022460937
2.654589844,0.021972656
2.748281250,0.023437500
2.857587891,0.021972656
2.966894531,0.023925781
3.060585937,0.023437500
3.154277344,0.023925781
3.279199219,0.022949219
3.372890625,0.023925781
3.482197266,0.024902344
3.591503906,0.028808594
3.685195312,-0.033691406
3.778886719,-0.010742187
3.888193359,0.002441406
4.013115234,0.011230469
4.106806641,0.016113281
4.216113281,0.020996094
4.309804687,0.022460937
4.434726562,0.025878906
4.528417969,0.026367187
4.637724609,0.029296875
4.731416016,0.030273437
4.856337891,0.032714844
4.950029297,0.033691406
5.043720703,0.035156250
5.153027344,0.037109375
5.246718750,0.041015625
5.340410156,0.042968750
5.465332031,0.047363281
5.574638672,0.049316406
5.668330078,0.054199219
5.762021484,0.056640625
5.871328125,0.061035156
5.980634766,0.062500000
6.089941406,0.065429687
6.183632812,0.064941406
6.292939453,0.065429687
6.386630859,0.061523437
6.495937500,0.060058594
6.589628906,0.055664062
6.714550781,0.053222656
6.808242188,0.049316406
6.901933594,0.046875000
7.011240234,0.043457031
7.104931641,0.041503906
7.229853516,0.038574219
7.323544922,0.037109375
7.417236328,0.035156250
7.526542969,0.034179687
7.635849609,0.032714844
7.729541016,0.032226562
7.838847656,0.031738281
7.932539063,0.032226562
8.057460938,0.032226562
8.166767578,0.033691406
8.260458984,0.034667969
8.369765625,0.035644531
8.463457031,0.039062500
8.588378906,0.043945312
8.682070313,0.046386719
8.775761719,0.048828125
8.885068359,0.050781250
8.994375000,0.055175781
9.088066406,0.058105469
9.197373047,0.063964844
9.306679687,0.068847656
9.400371094,0.075195312
9.494062500,0.080566406
