CH1 (V)  ,CH2 (V)  
-0.312304688,0.017089844
-0.312304688,0.016113281
-0.327919922,0.016601562
-0.312304688,0.017089844
-0.312304688,0.018066406
-0.312304688,0.017089844
-0.312304688,0.017578125
-0.281074219,0.017089844
-0.171767578,0.017578125
-0.062460938,0.017578125
0.046845703,0.017578125
0.124921875,0.017578125
0.234228516,0.018554687
0.343535156,0.017578125
0.437226562,0.019531250
0.546533203,0.017578125
0.655839844,0.018554687
0.765146484,0.018554687
0.858837891,0.020019531
0.968144531,0.018554687
1.061835937,0.020019531
1.171142578,0.018554687
1.264833984,0.020019531
1.374140625,0.019531250
1.483447266,0.019042969
1.577138672,0.020019531
1.686445313,0.019042969
1.780136719,0.020019531
1.889443359,0.019042969
1.998750000,0.019531250
2.092441406,0.020996094
2.201748047,0.020019531
2.295439453,0.019531250
2.404746094,0.020019531
2.514052734,0.022460937
2.623359375,0.020507812
2.717050781,0.020019531
2.826357422,0.020507812
2.920048828,0.019531250
3.013740234,0.020996094
3.138662109,0.020507812
3.232353516,0.021484375
3.341660156,0.020996094
3.435351562,0.022460937
3.544658203,0.021484375
3.638349609,0.023437500
3.747656250,0.024902344
3.841347656,0.024902344
3.935039063,0.027343750
4.075576172,0.026855469
4.169267578,0.027343750
4.278574219,0.029785156
4.372265625,0.032226562
4.481572266,0.033691406
4.590878906,0.034667969
4.684570312,0.038085937
4.793876953,0.039550781
4.887568359,0.042968750
4.996875000,0.045410156
5.090566406,0.049804687
5.199873047,0.052734375
5.309179688,0.057617187
5.402871094,0.062011719
5.512177734,0.065917969
5.621484375,0.070312500
5.715175781,0.075683594
5.824482422,0.079589844
5.918173828,0.084960937
6.043095703,0.086425781
6.121171875,0.088867187
6.246093750,0.085937500
6.324169922,0.084472656
6.433476563,0.081542969
6.542783203,0.078125000
6.652089844,0.073242187
6.745781250,0.070800781
6.855087891,0.066406250
6.948779297,0.062988281
7.073701172,0.058105469
7.151777344,0.056152344
7.261083984,0.053222656
7.370390625,0.050292969
7.479697266,0.046875000
7.589003906,0.045898437
7.667080078,0.043945312
7.792001953,0.043457031
7.885693359,0.042480469
7.979384766,0.042968750
8.104306641,0.041992187
8.197998047,0.043945312
8.291689453,0.044433594
8.416611328,0.046386719
8.525917969,0.048828125
8.603994141,0.053222656
8.728916016,0.055175781
8.822607422,0.060058594
8.931914063,0.064453125
9.025605469,0.069824219
9.119296875,0.076171875
9.228603516,0.083007812
9.337910156,0.089843750
9.431601562,0.097656250
9.540908203,0.105468750
9.634599609,0.114257812
9.759521484,0.123535156
9.853212891,0.133300781
9.962519531,0.143066406
10.056210937,0.153808594
10.149902344,0.163574219
10.243593750,0.176269531
10.368515625,0.187011719
10.462207031,0.199707031
10.555898437,0.209960937
10.680820312,0.222167969
10.774511719,0.229980469
10.883818359,0.236328125
10.993125000,0.237792969
11.086816406,0.234375000
11.196123047,0.225585937
11.289814453,0.214355469
11.399121094,0.200195312
11.492812500,0.187011719
11.602119141,0.158691406
11.711425781,0.167968750
11.805117188,0.148437500
11.898808594,0.133789062
12.023730469,0.120605469
12.133037109,0.111328125
12.226728516,0.100097656
12.336035156,0.091308594
12.445341797,0.083984375
12.539033203,0.078125000
12.648339844,0.073242187
12.742031250,0.071777344
12.851337891,0.070800781
12.960644531,0.069824219
13.054335937,0.071777344
13.163642578,0.073730469
13.257333984,0.077148437
13.366640625,0.081054687
13.475947266,0.086914062
13.569638672,0.092285156
13.678945312,0.098144531
13.772636719,0.106933594
13.881943359,0.117187500
13.991250000,0.125976562
14.100556641,0.137207031
14.194248047,0.146972656
14.287939453,0.157226562
14.397246094,0.170410156
14.506552734,0.184082031
14.600244141,0.196289062
14.709550781,0.211914062
14.803242188,0.224121094
14.912548828,0.239746094
15.006240234,0.253417969
15.115546875,0.267578125
15.209238281,0.284667969
15.318544922,0.301757812
15.427851562,0.315429687
15.521542969,0.328125000
15.630849609,0.341796875
15.724541016,0.352050781
15.833847656,0.356445312
15.943154297,0.355468750
16.068076172,0.351562500
16.161767578,0.342773437
16.255458984,0.329101562
16.364765625,0.313964844
16.458457031,0.297851562
