CH1 (V)  ,CH2 (V)  
-0.312304688,0.014648437
-0.296689453,0.015625000
-0.202998047,0.015136719
-0.109306641,0.016113281
0.015615234,0.014648437
0.109306641,0.016113281
0.202998047,0.015625000
0.312304688,0.016601562
0.421611328,0.016601562
0.515302734,0.018066406
0.624609375,0.016601562
0.733916016,0.018066406
0.843222656,0.017089844
0.936914062,0.019042969
1.030605469,0.019531250
1.139912109,0.020996094
1.249218750,0.019042969
1.358525391,0.019531250
1.452216797,0.018066406
1.561523437,0.019042969
1.655214844,0.018554687
1.764521484,0.019531250
1.858212891,0.019531250
1.983134766,0.019531250
2.061210937,0.019531250
2.186132812,0.019531250
2.279824219,0.019042969
2.373515625,0.020019531
2.482822266,0.019531250
2.592128906,0.020019531
2.685820312,0.019531250
2.795126953,0.019042969
2.888818359,0.019042969
2.998125000,0.019531250
3.091816406,0.019042969
3.216738281,0.020019531
3.310429688,0.019531250
3.404121094,0.020019531
3.513427734,0.019531250
3.622734375,0.020019531
3.716425781,0.020019531
3.825732422,0.019531250
3.935039063,0.019042969
4.044345703,0.020019531
4.138037109,0.020996094
4.247343750,0.020507812
4.356650391,0.020996094
4.465957031,0.020996094
4.559648437,0.022460937
4.668955078,0.021972656
4.762646484,0.021972656
4.871953125,0.021484375
4.965644531,0.021484375
5.074951172,0.021484375
5.184257813,0.021972656
5.293564453,0.021484375
5.387255859,0.021972656
5.480947266,0.022949219
5.590253906,0.024902344
5.683945312,0.024902344
5.793251953,0.025390625
5.902558594,0.025878906
5.996250000,0.026855469
6.089941406,0.026855469
6.199248047,0.027343750
6.308554688,0.026367187
6.417861328,0.026855469
6.527167969,0.025878906
6.620859375,0.026367187
6.730166016,0.024902344
6.823857422,0.024902344
6.917548828,0.023925781
7.026855469,0.023925781
7.136162109,0.023437500
7.229853516,0.023437500
7.339160156,0.022949219
7.448466797,0.023925781
7.557773437,0.022949219
7.651464844,0.023437500
7.745156250,0.022460937
7.854462891,0.023925781
7.963769531,0.023437500
8.073076172,0.024414062
8.166767578,0.023925781
8.276074219,0.025390625
8.385380859,0.024414062
8.494687500,0.025878906
8.588378906,0.025878906
8.697685547,0.028320312
8.806992188,0.027832031
8.900683594,0.029785156
9.009990234,0.029785156
9.103681641,0.031250000
9.197373047,0.031738281
9.291064453,0.033203125
9.415986328,0.034179687
9.509677734,0.036132812
9.603369141,0.036132812
9.728291016,0.038574219
9.821982422,0.039062500
9.915673828,0.041992187
10.024980469,0.042480469
10.118671875,0.045410156
10.227978516,0.045898437
10.337285156,0.048828125
10.430976562,0.049316406
10.540283203,0.051757812
10.649589844,0.052734375
10.743281250,0.055175781
10.852587891,0.055175781
10.961894531,0.056640625
11.055585938,0.053710937
11.149277344,0.053710937
11.274199219,0.049804687
11.367890625,0.047851562
11.477197266,0.043457031
11.570888672,0.041992187
11.664580078,0.038574219
11.773886719,0.037109375
11.883193359,0.034179687
11.976884766,0.033691406
