CH1 (V)  ,CH2 (V)  
-0.312304688,0.018066406
-0.312304688,0.017089844
-0.327919922,0.016601562
-0.312304688,0.017578125
-0.296689453,0.017089844
-0.296689453,0.017578125
-0.312304688,0.016601562
-0.312304688,0.017578125
-0.187382812,0.017578125
-0.093691406,0.018066406
0.015615234,0.020019531
0.124921875,0.019042969
0.249843750,0.018554687
0.359150391,0.019042969
0.468457031,0.020019531
0.577763672,0.018554687
0.687070312,0.019531250
0.811992188,0.018554687
0.921298828,0.017578125
1.030605469,0.019042969
1.139912109,0.020019531
1.249218750,0.019531250
1.358525391,0.020996094
1.483447266,0.019042969
1.592753906,0.020507812
1.702060547,0.020019531
1.811367187,0.021484375
1.936289062,0.020019531
2.029980469,0.021484375
2.139287109,0.020019531
2.248593750,0.021484375
2.357900391,0.020019531
2.482822266,0.021484375
2.592128906,0.020019531
2.701435547,0.021484375
2.810742187,0.020019531
2.935664062,0.021484375
3.029355469,0.020507812
3.154277344,0.021972656
3.263583984,0.020507812
3.372890625,0.020996094
3.497812500,0.021972656
3.607119141,0.023925781
3.716425781,0.023437500
3.825732422,0.024902344
3.950654297,0.024902344
4.059960937,0.026855469
4.169267578,0.027343750
4.294189453,0.030761719
4.403496094,0.031738281
4.528417969,0.033691406
4.606494141,0.036621094
4.731416016,0.039550781
4.856337891,0.041992187
4.950029297,0.046386719
5.074951172,0.049316406
5.184257813,0.054199219
5.293564453,0.057617187
5.418486328,0.062500000
5.512177734,0.067382812
5.637099609,0.073242187
5.730791016,0.077636719
5.855712891,0.083984375
5.965019531,0.087890625
6.089941406,0.090332031
6.199248047,0.090332031
6.308554688,0.088867187
6.402246094,0.084472656
6.527167969,0.080566406
6.636474609,0.075195312
6.745781250,0.071777344
6.855087891,0.065429687
6.980009766,0.061035156
7.089316406,0.056640625
7.198623047,0.052246094
7.307929687,0.050292969
7.417236328,0.047851562
7.526542969,0.043457031
7.635849609,0.043457031
7.760771484,0.040527344
7.854462891,0.040527344
7.979384766,0.038085937
8.104306641,0.040039062
8.213613281,0.039550781
8.338535156,0.042480469
8.432226563,0.044433594
8.541533203,0.047851562
8.666455078,0.050781250
8.760146484,0.056152344
8.885068359,0.060546875
8.994375000,0.066406250
9.119296875,0.071777344
9.212988281,0.079589844
9.322294922,0.085937500
9.462832031,0.094238281
9.556523437,0.102539062
9.665830078,0.112304687
9.775136719,0.121093750
9.884443359,0.131835937
10.024980469,0.141601562
10.118671875,0.154296875
10.227978516,0.165039062
10.337285156,0.177246094
10.446591797,0.188476562
10.571513672,0.201660156
10.665205078,0.211914062
10.790126953,0.222167969
10.899433594,0.227539062
11.008740234,0.229492187
11.118046875,0.225097656
11.227353516,0.216796875
11.336660156,0.203125000
11.445966797,0.191894531
11.570888672,0.175292969
11.680195313,0.158691406
11.789501953,0.144531250
11.914423828,0.130371094
12.023730469,0.116699219
12.133037109,0.105957031
12.257958984,0.094726562
12.367265625,0.085937500
12.476572266,0.076660156
12.585878906,0.072265625
12.710800781,0.066894531
12.820107422,0.065429687
12.929414062,0.062988281
13.054335937,0.064453125
13.148027344,0.065429687
13.257333984,0.069335937
13.366640625,0.072265625
13.475947266,0.079101562
13.600869141,0.083984375
13.725791016,0.093750000
13.819482422,0.101074219
13.944404297,0.111816406
14.053710937,0.120605469
14.131787109,0.131835937
14.256708984,0.143554687
14.381630859,0.157226562
14.490937500,0.168457031
14.600244141,0.183105469
14.709550781,0.196777344
14.818857422,0.211425781
14.943779297,0.226562500
15.068701172,0.244140625
15.162392578,0.258300781
15.271699219,0.276367187
15.381005859,0.290527344
15.474697266,0.306152344
15.599619141,0.319824219
15.708925781,0.331542969
15.833847656,0.338867187
15.943154297,0.341308594
16.068076172,0.337402344
16.177382812,0.330566406
16.286689453,0.317382812
16.411611328,0.303222656
16.505302734,0.287109375
16.598994141,0.270507812
16.739531250,0.249023437
16.848837891,0.227539062
16.958144531,0.206054687
17.067451172,0.187011719
17.176757812,0.166992187
17.301679687,0.150878906
17.410986328,0.134277344
17.504677734,0.122558594
17.629599609,0.111328125
17.738906250,0.104492187
17.863828125,0.099121094
17.973134766,0.096191406
18.082441406,0.094726562
18.160517578,0.097656250
18.301054687,0.100585937
18.410361328,0.106445312
18.519667969,0.112792969
18.628974609,0.121093750
18.738281250,0.129882812
18.847587891,0.141601562
18.972509766,0.152343750
19.066201172,0.164550781
19.191123047,0.178710937
19.300429687,0.192382812
19.409736328,0.207519531
19.534658203,0.225097656
19.628349609,0.239257812
19.753271484,0.255859375
19.862578125,0.273437500
19.987500000,0.291992187
20.096806641,0.309082031
20.206113281,0.329101562
20.331035156,0.343750000
20.424726562,0.360839844
20.549648438,0.376464844
20.658955078,0.389160156
20.752646484,0.399902344
20.893183594,0.405761719
21.002490234,0.408203125
21.127412109,0.407714844
21.221103516,0.402832031
21.330410156,0.396972656
21.439716797,0.386718750
21.549023438,0.374023437
21.673945312,0.356933594
21.783251953,0.338378906
21.892558594,0.317871094
22.001865234,0.298339844
22.126787109,0.276855469
22.220478516,0.257324219
22.345400391,0.236328125
22.454707031,0.216796875
22.564013672,0.198730469
22.673320312,0.184570312
22.767011719,0.171386719
22.907548828,0.161132812
23.001240234,0.152832031
23.110546875,0.148437500
23.235468750,0.146484375
23.344775391,0.147460937
23.454082031,0.149414062
23.563388672,0.155273437
23.672695313,0.159667969
23.797617187,0.169921875
23.906923828,0.177734375
24.016230469,0.190429687
24.141152344,0.199707031
24.250458984,0.212890625
24.359765625,0.227539062
24.453457031,0.242187500
24.593994141,0.258789062
24.703300781,0.274414062
24.812607422,0.291992187
24.937529297,0.311523437
25.046835937,0.327636719
25.140527344,0.344726562
25.249833984,0.363281250
25.374755859,0.379882812
25.484062500,0.396972656
25.593369141,0.410644531
25.718291016,0.423828125
25.827597656,0.435546875
25.936904297,0.441894531
26.046210937,0.446289062
26.155517578,0.450683594
26.264824219,0.450683594
26.374130859,0.448730469
26.483437500,0.442871094
26.592744141,0.434570312
26.702050781,0.424804687
26.826972656,0.412109375
26.936279297,0.398925781
27.061201172,0.384765625
27.154892578,0.368652344
27.264199219,0.350585937
27.373505859,0.332519531
27.498427734,0.314453125
27.592119141,0.298339844
27.717041016,0.282226562
27.841962891,0.268554687
27.935654297,0.253906250
28.044960938,0.242187500
28.169882812,0.233398437
28.279189453,0.225585937
28.404111328,0.219726562
28.513417969,0.217285156
28.638339844,0.216308594
28.747646484,0.216796875
28.841337891,0.220703125
28.966259766,0.226074219
29.075566406,0.232910156
29.184873047,0.243652344
29.294179687,0.251464844
29.419101562,0.262207031
29.528408203,0.275390625
29.653330078,0.291015625
29.731406250,0.303222656
29.856328125,0.320312500
29.965634766,0.333984375
30.074941406,0.349121094
30.184248047,0.366210937
30.184248047,0.375976562
30.184248047,0.381347656
30.184248047,0.382812500
30.199863281,0.384277344
30.184248047,0.383789062
30.199863281,0.385253906
30.199863281,0.386230469
30.184248047,0.384765625
30.199863281,0.384277344
30.184248047,0.385253906
30.184248047,0.384765625
