X,Y
423.56363636363636,472.1454545454547
423.4924675094278,474.0616093643172
427.2454601855055,474.32250267274776
420.79220403936824,478.0071464932546
414.99041396941584,483.0330873369809
421.2349194740375,482.87050919979424
429.24633834054384,482.3213132649553
426.6958713462377,480.982010561194
421.4265463121973,485.3030947268992
417.02346649035917,488.906027997469
416.412948878713,492.6582516262796
421.69051538050496,499.0683140123442
419.57572167339003,501.88714360075915
412.7626382496758,501.9581235504463
414.1691012345625,504.1964248300212
410.90294297353216,504.95406530978084
409.4168152410816,503.9964059326678
406.81909825189996,501.42149625332945
406.4743642271196,501.1911180922864
410.52269261805486,506.9884585876812
416.5928782799283,507.0236446096128
417.89993350513964,513.6968554529535
418.31261768875413,516.837732622681
413.6298773781283,516.8241909422459
418.364981192341,524.3285323163916
418.4295527334781,523.993401221132
420.9038406413749,519.4829488543529
424.54039982321854,519.7393361858394
428.51712094412073,520.1175135060448
425.6063307378565,520.2349693735036
425.64597040013814,522.1790224702353
426.9709236355603,526.1708236110652
427.6649253052302,531.5599995376162
432.40843532970155,529.8692062670452
436.73806566324697,528.3358047776064
434.6796012521611,527.1958957871279
430.37546961173143,531.1879481498634
434.2002614999685,526.819427199813
437.13720716243915,524.6063356618068
444.4605305227001,520.0687186567095
440.71120714388553,525.8355402779792
445.5317603106655,524.9629685992744
439.2103274220183,529.8299645089012
436.37952557586027,534.1761652989654
433.4945276287899,538.555202882819
435.4153184223085,536.9177191929523
436.8214025452419,536.477111691063
436.81155678409334,532.8198892380458
441.26942096846983,534.9513203094701
438.02554516975897,537.8928239169607
441.5406093725903,542.8533044419901
443.76797326010455,536.7881996808767
441.74831814811614,546.0882212677277
445.1612211810509,550.9524405050631
444.52483043010113,548.5841197595535
447.9072215287015,546.8802563449517
446.65647288099217,551.9290018094518
452.094726102241,551.4785758269618
454.9028289756118,555.3748559864412
459.39822194052033,556.4226309204312
461.54497766302916,560.4296492767107
458.69104033631015,563.0024424258711
460.72403552382696,561.432628741403
461.01136028537917,562.0041715341474
460.77948449237283,558.6410009935516
466.59526213485856,558.9778661074206
466.289661995359,559.0328876304743
467.5920434050445,557.2608173918716
468.0460990420115,554.3772895909344
469.88831996299245,556.5366313248276
465.5103752219529,554.9574420674328
463.052662182258,553.8987436537282
456.45168308553707,551.164818782961
453.2156031469467,552.2708847218116
449.33149253753595,550.4890086157193
444.8468284507612,553.2909406122021
444.28818274843024,554.7500993145986
445.16507420816083,553.0945199510727
450.1225427615075,560.8816130129583
449.4664421225024,563.139826458033
449.855743111916,563.4713571703437
452.386289285015,568.3073178292029
452.4565710932276,565.5449621810349
455.75653404689024,568.6825987600403
445.1759865820609,569.0715213932951
444.906208166052,562.5235404977777
444.5039175815957,563.3064365802679
449.96871043311785,566.0635299602225
443.5615197144501,570.4586169150118
449.8938661777362,572.4365156430674
448.3153804871723,572.7410703320045
445.7641300616765,573.9441553857532
441.24353302061945,572.2585620975947
440.0382200832819,564.089121789623
441.1014516337468,564.2552323366872
439.4909113078601,560.861714242003
437.2839760299744,558.5606419248725
435.5942773569184,570.6152475918454
433.3101671146728,570.3039494259585
436.550827679592,569.7814655081729
434.65495198899407,568.169935987409
431.89102638282907,569.3554486270432
431.8464905602642,573.6612796973834
432.64545791856153,574.0865388459706
428.2612562611507,574.9276096538567
426.8483014582034,575.8342581193945
424.8379020136349,578.4369324044521
422.32550362268694,581.8959472119109
422.2843598920215,581.2434587431562
420.9990243020559,580.5042080742983
429.4007893183086,584.3620752162017
426.8962843496298,586.5731758944005
429.76907221528654,588.9052594863069
430.7651908263856,592.1253500526784
437.6049410681828,596.8314238841019
438.82256023694185,593.7020421182713
434.30258774398044,594.0469265434883
435.703390423496,593.2596311192262
434.6093515485305,590.9593853288472
435.77009824156005,591.0136485490564
