X,Y
562.32,187.98
557.66,187.08
559.90,187.56
559.28,184.96
559.39,184.22
559.73,184.86
558.94,184.55
558.07,186.05
559.72,186.01
557.38,185.52
560.05,183.85
559.86,184.40
559.17,183.73
561.05,184.14
558.02,182.54
558.32,183.36
558.37,184.38
558.10,185.01
558.20,184.37
558.13,183.62
558.09,185.38
558.11,183.80
560.56,184.21
560.64,185.13
560.22,188.72
560.76,185.75
561.92,185.98
562.44,187.06
560.48,186.39
559.61,187.37
557.92,188.50
555.67,189.70
559.48,189.67
557.94,188.98
556.38,188.74
554.31,187.74
556.69,189.62
554.82,190.22
553.64,190.84
555.85,189.67
556.95,188.61
556.57,188.39
557.65,188.33
556.93,186.66
555.55,187.14
555.21,190.11
553.74,189.30
555.03,188.86
553.18,189.48
552.15,190.64
553.96,192.53
554.29,190.63
552.90,191.96
555.02,190.52
556.29,185.92
556.70,187.83
553.04,190.76
550.31,189.51
552.20,189.69
554.59,189.04
555.84,189.60
555.72,189.21
553.54,190.68
555.43,190.21
553.97,191.12
555.03,192.38
557.77,194.12
554.00,193.42
554.48,191.41
553.55,192.23
554.95,189.02
556.47,190.71
555.82,190.89
557.78,189.88
556.27,193.45
557.84,195.16
555.35,194.01
552.99,193.64
556.26,194.08
555.73,195.07
555.35,193.48
556.94,194.52
556.51,192.06
555.39,190.48
553.53,192.67
555.85,194.41
557.82,194.43
559.84,195.80
558.62,193.97
560.76,194.13
563.34,191.91
560.85,190.87
561.59,192.01
558.83,190.11
559.80,192.03
558.60,191.99
556.78,193.89
556.77,194.89
558.79,193.18
559.55,194.50
562.57,192.87
561.91,191.59
559.71,192.68
556.02,192.76
553.92,190.44
554.21,187.06
557.13,189.63
560.00,190.08
557.80,190.21
559.69,190.23
556.76,191.98
556.69,188.76
557.06,189.18
559.63,189.48
558.07,187.77
557.31,189.46
553.32,190.04
551.53,188.34
552.55,191.15
552.41,193.18
